Year,SPOL,CAUSE_OF_DEATH,UNIT_MEASURE,Value
2000,Ž,injuries_poisoning_and_consequences,Broj,279
2000,Ž,Ukupno,Broj,12777
2001,Oba spola,infectious_and_parasitic,Broj,257
2001,Oba spola,neoplasms,Broj,5347
2001,Oba spola,diseases_of_the_blood,Broj,20
2001,Oba spola,endocrine_metabolic_and_nutritional,Broj,667
2001,Oba spola,mental_and_behavioural_disorders,Broj,48
2001,Oba spola,diseases_of_the_nervous,Broj,161
2001,Oba spola,diseases_of_the_eye,Broj,1
2001,Oba spola,diseases_of_the_circulatory,Broj,16328
2001,Oba spola,diseases_of_the_respiratory,Broj,745
2001,Oba spola,diseases_of_the_digestive,Broj,827
2001,Oba spola,diseases_of_the_skin,Broj,17
2001,Oba spola,diseases_of_the_musculoskeletal,Broj,14
2001,Oba spola,diseases_of_the_genitourinary,Broj,397
2001,Oba spola,pregnancy_childbirth_and_the,Broj,1
2001,Oba spola,certain_conditions_originating,Broj,188
2001,Oba spola,congenital_malformations_deformations,Broj,43
2001,Oba spola,symptoms_signs_and_abnormal,Broj,3031
2001,Oba spola,injuries_poisoning_and_consequences,Broj,1017
2001,Oba spola,external_causes_of_mortality,Broj,261
2001,Oba spola,factors_influencing_health_status,Broj,1
2001,Oba spola,unknown,Broj,954
2001,Oba spola,Ukupno,Broj,30325
2001,M,infectious_and_parasitic,Broj,157
2001,M,neoplasms,Broj,3288
2001,M,diseases_of_the_blood,Broj,7
2001,M,endocrine_metabolic_and_nutritional,Broj,240
2001,M,mental_and_behavioural_disorders,Broj,37
2001,M,diseases_of_the_nervous,Broj,79
2001,M,diseases_of_the_eye,Broj,1
2001,M,diseases_of_the_circulatory,Broj,7943
2001,M,diseases_of_the_respiratory,Broj,434
2001,M,diseases_of_the_digestive,Broj,540
2001,M,diseases_of_the_skin,Broj,5
2001,M,diseases_of_the_musculoskeletal,Broj,6
2001,M,diseases_of_the_genitourinary,Broj,200
2001,M,certain_conditions_originating,Broj,109
2001,M,congenital_malformations_deformations,Broj,18
2001,M,symptoms_signs_and_abnormal,Broj,1637
2001,M,injuries_poisoning_and_consequences,Broj,768
2001,M,external_causes_of_mortality,Broj,206
2001,M,unknown,Broj,527
2001,M,Ukupno,Broj,16202
2001,Ž,infectious_and_parasitic,Broj,100
2001,Ž,neoplasms,Broj,2059
2001,Ž,diseases_of_the_blood,Broj,13
2001,Ž,endocrine_metabolic_and_nutritional,Broj,427
2001,Ž,mental_and_behavioural_disorders,Broj,11
2001,Ž,diseases_of_the_nervous,Broj,82
2001,Ž,diseases_of_the_circulatory,Broj,8385
2001,Ž,diseases_of_the_respiratory,Broj,311
2001,Ž,diseases_of_the_digestive,Broj,287
2001,Ž,diseases_of_the_skin,Broj,12
2001,Ž,diseases_of_the_musculoskeletal,Broj,8
2001,Ž,diseases_of_the_genitourinary,Broj,197
2001,Ž,pregnancy_childbirth_and_the,Broj,1
2001,Ž,certain_conditions_originating,Broj,79
2001,Ž,congenital_malformations_deformations,Broj,25
2001,Ž,symptoms_signs_and_abnormal,Broj,1394
2001,Ž,injuries_poisoning_and_consequences,Broj,249
2001,Ž,external_causes_of_mortality,Broj,55
2001,Ž,factors_influencing_health_status,Broj,1
2001,Ž,unknown,Broj,427
2001,Ž,Ukupno,Broj,14123
2002,Oba spola,infectious_and_parasitic,Broj,263
2002,Oba spola,neoplasms,Broj,5288
2002,Oba spola,diseases_of_the_blood,Broj,19
2002,Oba spola,endocrine_metabolic_and_nutritional,Broj,862
2002,Oba spola,mental_and_behavioural_disorders,Broj,66
2002,Oba spola,diseases_of_the_nervous,Broj,157
2002,Oba spola,diseases_of_the_eye,Broj,1
2002,Oba spola,diseases_of_the_circulatory,Broj,16007
2002,Oba spola,diseases_of_the_respiratory,Broj,817
2002,Oba spola,diseases_of_the_digestive,Broj,820
2002,Oba spola,diseases_of_the_skin,Broj,17
2002,Oba spola,diseases_of_the_musculoskeletal,Broj,10
2002,Oba spola,diseases_of_the_genitourinary,Broj,219
2002,Oba spola,pregnancy_childbirth_and_the,Broj,3
2002,Oba spola,certain_conditions_originating,Broj,226
2002,Oba spola,congenital_malformations_deformations,Broj,56
2002,Oba spola,symptoms_signs_and_abnormal,Broj,2983
2002,Oba spola,injuries_poisoning_and_consequences,Broj,984
2002,Oba spola,external_causes_of_mortality,Broj,242
2002,Oba spola,factors_influencing_health_status,Broj,1
2002,Oba spola,unknown,Broj,1790
2002,Oba spola,Ukupno,Broj,30831
2002,M,infectious_and_parasitic,Broj,160
2002,M,neoplasms,Broj,3201
2002,M,diseases_of_the_blood,Broj,11
2002,M,endocrine_metabolic_and_nutritional,Broj,300
2002,M,mental_and_behavioural_disorders,Broj,39
2002,M,diseases_of_the_nervous,Broj,87
2002,M,diseases_of_the_eye,Broj,1
2002,M,diseases_of_the_circulatory,Broj,7544
2002,M,diseases_of_the_respiratory,Broj,478
2002,M,diseases_of_the_digestive,Broj,495
2002,M,diseases_of_the_skin,Broj,3
2002,M,diseases_of_the_musculoskeletal,Broj,2
2002,M,diseases_of_the_genitourinary,Broj,120
2002,M,certain_conditions_originating,Broj,128
2002,M,congenital_malformations_deformations,Broj,32
2002,M,symptoms_signs_and_abnormal,Broj,1535
2002,M,injuries_poisoning_and_consequences,Broj,751
2002,M,external_causes_of_mortality,Broj,180
2002,M,factors_influencing_health_status,Broj,1
2002,M,unknown,Broj,965
2002,M,Ukupno,Broj,16033
2002,Ž,infectious_and_parasitic,Broj,103
2002,Ž,neoplasms,Broj,2087
2002,Ž,diseases_of_the_blood,Broj,8
2002,Ž,endocrine_metabolic_and_nutritional,Broj,562
2002,Ž,mental_and_behavioural_disorders,Broj,27
2002,Ž,diseases_of_the_nervous,Broj,70
2002,Ž,diseases_of_the_circulatory,Broj,8463
2002,Ž,diseases_of_the_respiratory,Broj,339
2002,Ž,diseases_of_the_digestive,Broj,325
2002,Ž,diseases_of_the_skin,Broj,14
2002,Ž,diseases_of_the_musculoskeletal,Broj,8
2002,Ž,diseases_of_the_genitourinary,Broj,99
2002,Ž,pregnancy_childbirth_and_the,Broj,3
2002,Ž,certain_conditions_originating,Broj,98
2002,Ž,congenital_malformations_deformations,Broj,24
2002,Ž,symptoms_signs_and_abnormal,Broj,1448
2002,Ž,injuries_poisoning_and_consequences,Broj,233
2002,Ž,external_causes_of_mortality,Broj,62
2002,Ž,unknown,Broj,825
2002,Ž,Ukupno,Broj,14798
2003,Oba spola,neoplasms,Broj,5771
2003,Oba spola,diseases_of_the_circulatory,Broj,16990
2003,Oba spola,diseases_of_the_respiratory,Broj,876
2003,Oba spola,diseases_of_the_digestive,Broj,810
2003,Oba spola,symptoms_signs_and_abnormal,Broj,3166
2003,Oba spola,injuries_poisoning_and_consequences,Broj,950
2003,Oba spola,unknown,Broj,770
2003,Oba spola,Ukupno,Broj,29333
2003,M,neoplasms,Broj,3499
2003,M,diseases_of_the_circulatory,Broj,8001
2003,M,diseases_of_the_respiratory,Broj,542
2003,M,diseases_of_the_digestive,Broj,499
2003,M,symptoms_signs_and_abnormal,Broj,1612
2003,M,injuries_poisoning_and_consequences,Broj,706
2003,M,unknown,Broj,424
2003,M,Ukupno,Broj,15283
2003,Ž,neoplasms,Broj,2272
2003,Ž,diseases_of_the_circulatory,Broj,8989
2003,Ž,diseases_of_the_respiratory,Broj,334
2003,Ž,diseases_of_the_digestive,Broj,311
2003,Ž,symptoms_signs_and_abnormal,Broj,1554
2003,Ž,injuries_poisoning_and_consequences,Broj,244
2003,Ž,unknown,Broj,346
2003,Ž,Ukupno,Broj,14050
2004,Oba spola,infectious_and_parasitic,Broj,255
2004,Oba spola,neoplasms,Broj,5709
2004,Oba spola,diseases_of_the_blood,Broj,31
2004,Oba spola,endocrine_metabolic_and_nutritional,Broj,993
2004,Oba spola,mental_and_behavioural_disorders,Broj,104
2004,Oba spola,diseases_of_the_nervous,Broj,251
2004,Oba spola,diseases_of_the_circulatory,Broj,17700
2004,Oba spola,diseases_of_the_respiratory,Broj,907
2004,Oba spola,diseases_of_the_digestive,Broj,839
2004,Oba spola,diseases_of_the_skin,Broj,11
2004,Oba spola,diseases_of_the_musculoskeletal,Broj,16
2004,Oba spola,diseases_of_the_genitourinary,Broj,467
2004,Oba spola,pregnancy_childbirth_and_the,Broj,1
2004,Oba spola,certain_conditions_originating,Broj,163
2004,Oba spola,congenital_malformations_deformations,Broj,42
2004,Oba spola,symptoms_signs_and_abnormal,Broj,2723
2004,Oba spola,injuries_poisoning_and_consequences,Broj,920
2004,Oba spola,external_causes_of_mortality,Broj,273
2004,Oba spola,factors_influencing_health_status,Broj,1
2004,Oba spola,unknown,Broj,1210
2004,Oba spola,Ukupno,Broj,32616
2004,M,infectious_and_parasitic,Broj,152
2004,M,neoplasms,Broj,3398
2004,M,diseases_of_the_blood,Broj,10
2004,M,endocrine_metabolic_and_nutritional,Broj,377
2004,M,mental_and_behavioural_disorders,Broj,80
2004,M,diseases_of_the_nervous,Broj,126
2004,M,diseases_of_the_circulatory,Broj,8262
2004,M,diseases_of_the_respiratory,Broj,551
2004,M,diseases_of_the_digestive,Broj,498
2004,M,diseases_of_the_skin,Broj,2
2004,M,diseases_of_the_musculoskeletal,Broj,9
2004,M,diseases_of_the_genitourinary,Broj,248
2004,M,certain_conditions_originating,Broj,101
2004,M,congenital_malformations_deformations,Broj,26
2004,M,symptoms_signs_and_abnormal,Broj,1399
2004,M,injuries_poisoning_and_consequences,Broj,691
2004,M,external_causes_of_mortality,Broj,198
2004,M,factors_influencing_health_status,Broj,1
2004,M,unknown,Broj,651
2004,M,Ukupno,Broj,16780
2004,Ž,infectious_and_parasitic,Broj,103
2004,Ž,neoplasms,Broj,2311
2004,Ž,diseases_of_the_blood,Broj,21
2004,Ž,endocrine_metabolic_and_nutritional,Broj,616
2004,Ž,mental_and_behavioural_disorders,Broj,24
2004,Ž,diseases_of_the_nervous,Broj,125
2004,Ž,diseases_of_the_circulatory,Broj,9438
2004,Ž,diseases_of_the_respiratory,Broj,356
2004,Ž,diseases_of_the_digestive,Broj,341
2004,Ž,diseases_of_the_skin,Broj,9
2004,Ž,diseases_of_the_musculoskeletal,Broj,7
2004,Ž,diseases_of_the_genitourinary,Broj,219
2004,Ž,pregnancy_childbirth_and_the,Broj,1
2004,Ž,certain_conditions_originating,Broj,62
2004,Ž,congenital_malformations_deformations,Broj,16
2004,Ž,symptoms_signs_and_abnormal,Broj,1324
2004,Ž,injuries_poisoning_and_consequences,Broj,229
2004,Ž,external_causes_of_mortality,Broj,75
2004,Ž,unknown,Broj,559
2004,Ž,Ukupno,Broj,15836
2005,Oba spola,neoplasms,Broj,6255
2005,Oba spola,diseases_of_the_circulatory,Broj,17915
2005,Oba spola,diseases_of_the_respiratory,Broj,1242
2005,Oba spola,diseases_of_the_digestive,Broj,818
2005,Oba spola,symptoms_signs_and_abnormal,Broj,2394
2005,Oba spola,injuries_poisoning_and_consequences,Broj,952
2005,Oba spola,Ukupno,Broj,29576
2005,M,neoplasms,Broj,3766
2005,M,diseases_of_the_circulatory,Broj,8559
2005,M,diseases_of_the_respiratory,Broj,726
2005,M,diseases_of_the_digestive,Broj,491
2005,M,symptoms_signs_and_abnormal,Broj,1312
2005,M,injuries_poisoning_and_consequences,Broj,718
2005,M,Ukupno,Broj,15572
2005,Ž,neoplasms,Broj,2489
2005,Ž,diseases_of_the_circulatory,Broj,9356
2005,Ž,diseases_of_the_respiratory,Broj,516
2005,Ž,diseases_of_the_digestive,Broj,327
2005,Ž,symptoms_signs_and_abnormal,Broj,1082
2005,Ž,injuries_poisoning_and_consequences,Broj,234
2005,Ž,Ukupno,Broj,14004
2006,Oba spola,infectious_and_parasitic,Broj,237
2006,Oba spola,neoplasms,Broj,6252
2006,Oba spola,diseases_of_the_blood,Broj,20
2006,Oba spola,endocrine_metabolic_and_nutritional,Broj,1537
2006,Oba spola,mental_and_behavioural_disorders,Broj,118
2006,Oba spola,diseases_of_the_nervous,Broj,298
2006,Oba spola,diseases_of_the_eye,Broj,1
2006,Oba spola,diseases_of_the_circulatory,Broj,16967
2006,Oba spola,diseases_of_the_respiratory,Broj,1132
2006,Oba spola,diseases_of_the_digestive,Broj,826
2006,Oba spola,diseases_of_the_skin,Broj,11
2006,Oba spola,diseases_of_the_musculoskeletal,Broj,16
2006,Oba spola,diseases_of_the_genitourinary,Broj,547
2006,Oba spola,pregnancy_childbirth_and_the,Broj,3
2006,Oba spola,certain_conditions_originating,Broj,185
2006,Oba spola,congenital_malformations_deformations,Broj,56
2006,Oba spola,symptoms_signs_and_abnormal,Broj,2744
2006,Oba spola,injuries_poisoning_and_consequences,Broj,1017
2006,Oba spola,external_causes_of_mortality,Broj,212
2006,Oba spola,factors_influencing_health_status,Broj,1
2006,Oba spola,unknown,Broj,1041
2006,Oba spola,Ukupno,Broj,33221
2006,M,infectious_and_parasitic,Broj,147
2006,M,neoplasms,Broj,3697
2006,M,diseases_of_the_blood,Broj,9
2006,M,endocrine_metabolic_and_nutritional,Broj,598
2006,M,mental_and_behavioural_disorders,Broj,88
2006,M,diseases_of_the_nervous,Broj,174
2006,M,diseases_of_the_circulatory,Broj,7941
2006,M,diseases_of_the_respiratory,Broj,677
2006,M,diseases_of_the_digestive,Broj,493
2006,M,diseases_of_the_skin,Broj,6
2006,M,diseases_of_the_musculoskeletal,Broj,3
2006,M,diseases_of_the_genitourinary,Broj,293
2006,M,certain_conditions_originating,Broj,118
2006,M,congenital_malformations_deformations,Broj,32
2006,M,symptoms_signs_and_abnormal,Broj,1527
2006,M,injuries_poisoning_and_consequences,Broj,775
2006,M,external_causes_of_mortality,Broj,152
2006,M,unknown,Broj,578
2006,M,Ukupno,Broj,17308
2006,Ž,infectious_and_parasitic,Broj,90
2006,Ž,neoplasms,Broj,2555
2006,Ž,diseases_of_the_blood,Broj,11
2006,Ž,endocrine_metabolic_and_nutritional,Broj,939
2006,Ž,mental_and_behavioural_disorders,Broj,30
2006,Ž,diseases_of_the_nervous,Broj,124
2006,Ž,diseases_of_the_eye,Broj,1
2006,Ž,diseases_of_the_circulatory,Broj,9026
2006,Ž,diseases_of_the_respiratory,Broj,455
2006,Ž,diseases_of_the_digestive,Broj,333
2006,Ž,diseases_of_the_skin,Broj,5
2006,Ž,diseases_of_the_musculoskeletal,Broj,13
2006,Ž,diseases_of_the_genitourinary,Broj,254
2006,Ž,pregnancy_childbirth_and_the,Broj,3
2006,Ž,certain_conditions_originating,Broj,67
2006,Ž,congenital_malformations_deformations,Broj,24
2006,Ž,symptoms_signs_and_abnormal,Broj,1217
2006,Ž,injuries_poisoning_and_consequences,Broj,242
2006,Ž,external_causes_of_mortality,Broj,60
2006,Ž,factors_influencing_health_status,Broj,1
2006,Ž,unknown,Broj,463
2006,Ž,Ukupno,Broj,15913
2007,Oba spola,infectious_and_parasitic,Broj,250
2007,Oba spola,neoplasms,Broj,6713
2007,Oba spola,diseases_of_the_blood,Broj,54
2007,Oba spola,endocrine_metabolic_and_nutritional,Broj,1582
2007,Oba spola,mental_and_behavioural_disorders,Broj,162
2007,Oba spola,diseases_of_the_nervous,Broj,317
2007,Oba spola,diseases_of_the_eye,Broj,1
2007,Oba spola,diseases_of_the_circulatory,Broj,18516
2007,Oba spola,diseases_of_the_respiratory,Broj,1145
2007,Oba spola,diseases_of_the_digestive,Broj,924
2007,Oba spola,diseases_of_the_skin,Broj,10
2007,Oba spola,diseases_of_the_musculoskeletal,Broj,32
2007,Oba spola,diseases_of_the_genitourinary,Broj,558
2007,Oba spola,pregnancy_childbirth_and_the,Broj,1
2007,Oba spola,certain_conditions_originating,Broj,133
2007,Oba spola,congenital_malformations_deformations,Broj,54
2007,Oba spola,symptoms_signs_and_abnormal,Broj,2219
2007,Oba spola,injuries_poisoning_and_consequences,Broj,1030
2007,Oba spola,external_causes_of_mortality,Broj,267
2007,Oba spola,unknown,Broj,1076
2007,Oba spola,Ukupno,Broj,35044
2007,M,infectious_and_parasitic,Broj,164
2007,M,neoplasms,Broj,3983
2007,M,diseases_of_the_blood,Broj,22
2007,M,endocrine_metabolic_and_nutritional,Broj,609
2007,M,mental_and_behavioural_disorders,Broj,113
2007,M,diseases_of_the_nervous,Broj,161
2007,M,diseases_of_the_eye,Broj,1
2007,M,diseases_of_the_circulatory,Broj,8697
2007,M,diseases_of_the_respiratory,Broj,664
2007,M,diseases_of_the_digestive,Broj,570
2007,M,diseases_of_the_skin,Broj,4
2007,M,diseases_of_the_musculoskeletal,Broj,9
2007,M,diseases_of_the_genitourinary,Broj,320
2007,M,certain_conditions_originating,Broj,79
2007,M,congenital_malformations_deformations,Broj,28
2007,M,symptoms_signs_and_abnormal,Broj,1143
2007,M,injuries_poisoning_and_consequences,Broj,766
2007,M,external_causes_of_mortality,Broj,199
2007,M,unknown,Broj,622
2007,M,Ukupno,Broj,18154
2007,Ž,infectious_and_parasitic,Broj,86
2007,Ž,neoplasms,Broj,2730
2007,Ž,diseases_of_the_blood,Broj,32
2007,Ž,endocrine_metabolic_and_nutritional,Broj,973
2007,Ž,mental_and_behavioural_disorders,Broj,49
2007,Ž,diseases_of_the_nervous,Broj,156
2007,Ž,diseases_of_the_circulatory,Broj,9819
2007,Ž,diseases_of_the_respiratory,Broj,481
2007,Ž,diseases_of_the_digestive,Broj,354
2007,Ž,diseases_of_the_skin,Broj,6
2007,Ž,diseases_of_the_musculoskeletal,Broj,23
2007,Ž,diseases_of_the_genitourinary,Broj,238
2007,Ž,pregnancy_childbirth_and_the,Broj,1
2007,Ž,certain_conditions_originating,Broj,54
2007,Ž,congenital_malformations_deformations,Broj,26
2007,Ž,symptoms_signs_and_abnormal,Broj,1076
2007,Ž,injuries_poisoning_and_consequences,Broj,264
2007,Ž,external_causes_of_mortality,Broj,68
2007,Ž,unknown,Broj,454
2007,Ž,Ukupno,Broj,16890
2008,Oba spola,infectious_and_parasitic,Broj,275
2008,Oba spola,neoplasms,Broj,6734
2008,Oba spola,diseases_of_the_blood,Broj,37
2008,Oba spola,endocrine_metabolic_and_nutritional,Broj,1563
2008,Oba spola,mental_and_behavioural_disorders,Broj,169
2008,Oba spola,diseases_of_the_nervous,Broj,287
2008,Oba spola,diseases_of_the_eye,Broj,1
2008,Oba spola,diseases_of_the_circulatory,Broj,17988
2008,Oba spola,diseases_of_the_respiratory,Broj,1035
2008,Oba spola,diseases_of_the_digestive,Broj,846
2008,Oba spola,diseases_of_the_skin,Broj,10
2008,Oba spola,diseases_of_the_musculoskeletal,Broj,40
2008,Oba spola,diseases_of_the_genitourinary,Broj,571
2008,Oba spola,pregnancy_childbirth_and_the,Broj,4
2008,Oba spola,certain_conditions_originating,Broj,136
2008,Oba spola,congenital_malformations_deformations,Broj,61
2008,Oba spola,symptoms_signs_and_abnormal,Broj,2028
2008,Oba spola,injuries_poisoning_and_consequences,Broj,1200
2008,Oba spola,external_causes_of_mortality,Broj,2
2008,Oba spola,unknown,Broj,1039
2008,Oba spola,Ukupno,Broj,34026
2008,M,infectious_and_parasitic,Broj,170
2008,M,neoplasms,Broj,4053
2008,M,diseases_of_the_blood,Broj,16
2008,M,endocrine_metabolic_and_nutritional,Broj,618
2008,M,mental_and_behavioural_disorders,Broj,127
2008,M,diseases_of_the_nervous,Broj,167
2008,M,diseases_of_the_circulatory,Broj,8385
2008,M,diseases_of_the_respiratory,Broj,627
2008,M,diseases_of_the_digestive,Broj,512
2008,M,diseases_of_the_skin,Broj,3
2008,M,diseases_of_the_musculoskeletal,Broj,14
2008,M,diseases_of_the_genitourinary,Broj,306
2008,M,certain_conditions_originating,Broj,75
2008,M,congenital_malformations_deformations,Broj,32
2008,M,symptoms_signs_and_abnormal,Broj,1052
2008,M,injuries_poisoning_and_consequences,Broj,942
2008,M,external_causes_of_mortality,Broj,2
2008,M,unknown,Broj,586
2008,M,Ukupno,Broj,17687
2008,Ž,infectious_and_parasitic,Broj,105
2008,Ž,neoplasms,Broj,2681
2008,Ž,diseases_of_the_blood,Broj,21
2008,Ž,endocrine_metabolic_and_nutritional,Broj,945
2008,Ž,mental_and_behavioural_disorders,Broj,42
2008,Ž,diseases_of_the_nervous,Broj,120
2008,Ž,diseases_of_the_eye,Broj,1
2008,Ž,diseases_of_the_circulatory,Broj,9603
2008,Ž,diseases_of_the_respiratory,Broj,408
2008,Ž,diseases_of_the_digestive,Broj,334
2008,Ž,diseases_of_the_skin,Broj,7
2008,Ž,diseases_of_the_musculoskeletal,Broj,26
2008,Ž,diseases_of_the_genitourinary,Broj,265
2008,Ž,pregnancy_childbirth_and_the,Broj,4
2008,Ž,certain_conditions_originating,Broj,61
2008,Ž,congenital_malformations_deformations,Broj,29
2008,Ž,symptoms_signs_and_abnormal,Broj,976
2008,Ž,injuries_poisoning_and_consequences,Broj,258
2008,Ž,unknown,Broj,453
2008,Ž,Ukupno,Broj,16339
2009,Oba spola,infectious_and_parasitic,Broj,287
2009,Oba spola,neoplasms,Broj,6970
2009,Oba spola,diseases_of_the_blood,Broj,41
2009,Oba spola,endocrine_metabolic_and_nutritional,Broj,1999
2009,Oba spola,mental_and_behavioural_disorders,Broj,191
2009,Oba spola,diseases_of_the_nervous,Broj,319
2009,Oba spola,diseases_of_the_circulatory,Broj,18295
2009,Oba spola,diseases_of_the_respiratory,Broj,1133
2009,Oba spola,diseases_of_the_digestive,Broj,936
2009,Oba spola,diseases_of_the_skin,Broj,9
2009,Oba spola,diseases_of_the_musculoskeletal,Broj,35
2009,Oba spola,diseases_of_the_genitourinary,Broj,588
2009,Oba spola,pregnancy_childbirth_and_the,Broj,1
2009,Oba spola,certain_conditions_originating,Broj,144
2009,Oba spola,congenital_malformations_deformations,Broj,61
2009,Oba spola,symptoms_signs_and_abnormal,Broj,1985
2009,Oba spola,injuries_poisoning_and_consequences,Broj,1256
2009,Oba spola,external_causes_of_mortality,Broj,2
2009,Oba spola,factors_influencing_health_status,Broj,2
2009,Oba spola,unknown,Broj,650
2009,Oba spola,Ukupno,Broj,34904
2009,M,infectious_and_parasitic,Broj,180
2009,M,neoplasms,Broj,4118
2009,M,diseases_of_the_blood,Broj,17
2009,M,endocrine_metabolic_and_nutritional,Broj,766
2009,M,mental_and_behavioural_disorders,Broj,127
2009,M,diseases_of_the_nervous,Broj,167
2009,M,diseases_of_the_circulatory,Broj,8586
2009,M,diseases_of_the_respiratory,Broj,644
2009,M,diseases_of_the_digestive,Broj,559
2009,M,diseases_of_the_skin,Broj,4
2009,M,diseases_of_the_musculoskeletal,Broj,8
2009,M,diseases_of_the_genitourinary,Broj,299
2009,M,certain_conditions_originating,Broj,76
2009,M,congenital_malformations_deformations,Broj,31
2009,M,symptoms_signs_and_abnormal,Broj,1012
2009,M,injuries_poisoning_and_consequences,Broj,941
2009,M,external_causes_of_mortality,Broj,2
2009,M,factors_influencing_health_status,Broj,1
2009,M,unknown,Broj,346
2009,M,Ukupno,Broj,17884
2009,Ž,infectious_and_parasitic,Broj,107
2009,Ž,neoplasms,Broj,2852
2009,Ž,diseases_of_the_blood,Broj,24
2009,Ž,endocrine_metabolic_and_nutritional,Broj,1233
2009,Ž,mental_and_behavioural_disorders,Broj,64
2009,Ž,diseases_of_the_nervous,Broj,152
2009,Ž,diseases_of_the_circulatory,Broj,9709
2009,Ž,diseases_of_the_respiratory,Broj,489
2009,Ž,diseases_of_the_digestive,Broj,377
2009,Ž,diseases_of_the_skin,Broj,5
2009,Ž,diseases_of_the_musculoskeletal,Broj,27
2009,Ž,diseases_of_the_genitourinary,Broj,289
2009,Ž,pregnancy_childbirth_and_the,Broj,1
2009,Ž,certain_conditions_originating,Broj,68
2009,Ž,congenital_malformations_deformations,Broj,30
2009,Ž,symptoms_signs_and_abnormal,Broj,973
2009,Ž,injuries_poisoning_and_consequences,Broj,315
2009,Ž,factors_influencing_health_status,Broj,1
2009,Ž,unknown,Broj,304
2009,Ž,Ukupno,Broj,17020
2010,Oba spola,infectious_and_parasitic,Broj,285
2010,Oba spola,neoplasms,Broj,6973
2010,Oba spola,diseases_of_the_blood,Broj,45
2010,Oba spola,endocrine_metabolic_and_nutritional,Broj,1903
2010,Oba spola,mental_and_behavioural_disorders,Broj,171
2010,Oba spola,diseases_of_the_nervous,Broj,350
2010,Oba spola,diseases_of_the_eye,Broj,2
2010,Oba spola,diseases_of_the_circulatory,Broj,18805
2010,Oba spola,diseases_of_the_respiratory,Broj,1145
2010,Oba spola,diseases_of_the_digestive,Broj,918
2010,Oba spola,diseases_of_the_skin,Broj,14
2010,Oba spola,diseases_of_the_musculoskeletal,Broj,42
2010,Oba spola,diseases_of_the_genitourinary,Broj,577
2010,Oba spola,pregnancy_childbirth_and_the,Broj,1
2010,Oba spola,certain_conditions_originating,Broj,138
2010,Oba spola,congenital_malformations_deformations,Broj,63
2010,Oba spola,symptoms_signs_and_abnormal,Broj,1916
2010,Oba spola,injuries_poisoning_and_consequences,Broj,1117
2010,Oba spola,external_causes_of_mortality,Broj,15
2010,Oba spola,unknown,Broj,638
2010,Oba spola,Ukupno,Broj,35118
2010,M,infectious_and_parasitic,Broj,183
2010,M,neoplasms,Broj,4059
2010,M,diseases_of_the_blood,Broj,17
2010,M,endocrine_metabolic_and_nutritional,Broj,729
2010,M,mental_and_behavioural_disorders,Broj,118
2010,M,diseases_of_the_nervous,Broj,178
2010,M,diseases_of_the_eye,Broj,1
2010,M,diseases_of_the_circulatory,Broj,8699
2010,M,diseases_of_the_respiratory,Broj,681
2010,M,diseases_of_the_digestive,Broj,544
2010,M,diseases_of_the_skin,Broj,5
2010,M,diseases_of_the_musculoskeletal,Broj,16
2010,M,diseases_of_the_genitourinary,Broj,296
2010,M,certain_conditions_originating,Broj,76
2010,M,congenital_malformations_deformations,Broj,37
