Year,UNIT_MEASURE,SEX,AGE,Value
2013,NUMBER,M,70-74,-59854
2013,NUMBER,M,75-79,-47403
2013,NUMBER,M,80-84,-23769
2013,NUMBER,M,85-89,-7555
2013,NUMBER,M,90-94,-1311
2013,NUMBER,M,95-99,-108
2013,NUMBER,M,100-104,-29
2013,NUMBER,M,105-109,-17
2013,NUMBER,M,110-114,-32
2013,NUMBER,M,115-120,0
1971,NUMBER,F,0-4,198376
1971,NUMBER,F,5-9,216939
1971,NUMBER,F,10-14,217133
1971,NUMBER,F,15-19,202172
1971,NUMBER,F,20-24,157244
1971,NUMBER,F,25-29,116003
1971,NUMBER,F,30-34,148858
1971,NUMBER,F,35-39,141447
1971,NUMBER,F,40-44,124235
1971,NUMBER,F,45-49,96224
1971,NUMBER,F,50-54,60771
1971,NUMBER,F,55-59,65801
1971,NUMBER,F,60-64,59640
1971,NUMBER,F,65-69,42218
1971,NUMBER,F,70-74,30413
1971,NUMBER,F,75-79,13548
1971,NUMBER,F,80-84,7852
1971,NUMBER,F,85-89,3476
1971,NUMBER,F,90-94,1383
1971,NUMBER,F,95-99,514
1971,NUMBER,F,100-104,47
1971,NUMBER,F,105-109,0
1971,NUMBER,F,110-114,0
1971,NUMBER,F,115-120,0
1981,NUMBER,F,0-4,170690
1981,NUMBER,F,5-9,177130
1981,NUMBER,F,10-14,189147
1981,NUMBER,F,15-19,207896
1981,NUMBER,F,20-24,186691
1981,NUMBER,F,25-29,159698
1981,NUMBER,F,30-34,133472
1981,NUMBER,F,35-39,104397
1981,NUMBER,F,40-44,137357
1981,NUMBER,F,45-49,131616
1981,NUMBER,F,50-54,116935
1981,NUMBER,F,55-59,90094
1981,NUMBER,F,60-64,54623
1981,NUMBER,F,65-69,54267
1981,NUMBER,F,70-74,42792
1981,NUMBER,F,75-79,25147
1981,NUMBER,F,80-84,14123
1981,NUMBER,F,85-89,4446
1981,NUMBER,F,90-94,1798
1981,NUMBER,F,95-99,680
1981,NUMBER,F,100-104,81
1981,NUMBER,F,105-109,0
1981,NUMBER,F,110-114,0
1981,NUMBER,F,115-120,0
1991,NUMBER,F,0-4,157108
1991,NUMBER,F,5-9,164525
1991,NUMBER,F,10-14,163412
1991,NUMBER,F,15-19,165630
1991,NUMBER,F,20-24,162094
1991,NUMBER,F,25-29,170619
1991,NUMBER,F,30-34,168310
1991,NUMBER,F,35-39,152733
1991,NUMBER,F,40-44,128815
1991,NUMBER,F,45-49,98024
1991,NUMBER,F,50-54,128709
1991,NUMBER,F,55-59,122250
1991,NUMBER,F,60-64,105128
1991,NUMBER,F,65-69,76378
1991,NUMBER,F,70-74,39914
1991,NUMBER,F,75-79,31593
1991,NUMBER,F,80-84,18145
1991,NUMBER,F,85-89,7157
1991,NUMBER,F,90-94,1959
1991,NUMBER,F,95-99,329
1991,NUMBER,F,100-104,85
1991,NUMBER,F,105-109,12
1991,NUMBER,F,110-114,9
1991,NUMBER,F,115-120,2
2013,NUMBER,F,0-4,84622
2013,NUMBER,F,5-9,86099
2013,NUMBER,F,10-14,94022
2013,NUMBER,F,15-19,117842
2013,NUMBER,F,20-24,111173
2013,NUMBER,F,25-29,123070
2013,NUMBER,F,30-34,124040
2013,NUMBER,F,35-39,123121
2013,NUMBER,F,40-44,119543
2013,NUMBER,F,45-49,130841
2013,NUMBER,F,50-54,140422
2013,NUMBER,F,55-59,132961
2013,NUMBER,F,60-64,118281
2013,NUMBER,F,65-69,84503
2013,NUMBER,F,70-74,80601
2013,NUMBER,F,75-79,69864
2013,NUMBER,F,80-84,38867
2013,NUMBER,F,85-89,14967
2013,NUMBER,F,90-94,3551
2013,NUMBER,F,95-99,376
2013,NUMBER,F,100-104,79
2013,NUMBER,F,105-109,17
2013,NUMBER,F,110-114,27
2013,NUMBER,F,115-120,0
