Year,UNIT_MEASURE,QUANTITY,Entity,Value
2002,NUMBER,total_millions,RS,3417
2003,NUMBER,total_millions,RS,3717
2004,NUMBER,total_millions,RS,4226
2005,NUMBER,total_millions,RS,5695
2006,NUMBER,total_millions,RS,6550
2007,NUMBER,total_millions,RS,7366
2008,NUMBER,total_millions,RS,8507
2009,NUMBER,total_millions,RS,8257
2010,NUMBER,total_millions,RS,8336
2011,NUMBER,total_millions,RS,8703
2012,NUMBER,total_millions,RS,8615
2013,NUMBER,total_millions,RS,8793
2014,NUMBER,total_millions,RS,8887
2015,NUMBER,total_millions,RS,9205
2016,NUMBER,total_millions,RS,9631
2017,NUMBER,total_millions,RS,10077
2018,NUMBER,total_millions,RS,10680
2019,NUMBER,total_millions,RS,11251
2000,NUMBER,total_millions,BD,154
2001,NUMBER,total_millions,BD,213
2002,NUMBER,total_millions,BD,291
2003,NUMBER,total_millions,BD,318
2004,NUMBER,total_millions,BD,374
2005,NUMBER,total_millions,BD,448
2006,NUMBER,total_millions,BD,470
2007,NUMBER,total_millions,BD,553
2008,NUMBER,total_millions,BD,586
2009,NUMBER,total_millions,BD,555
2010,NUMBER,total_millions,BD,568
2011,NUMBER,total_millions,BD,601
2012,NUMBER,total_millions,BD,595
2013,NUMBER,total_millions,BD,607
2014,NUMBER,total_millions,BD,644
2015,NUMBER,total_millions,BD,696
2016,NUMBER,total_millions,BD,734
2017,NUMBER,total_millions,BD,760
2018,NUMBER,total_millions,BD,781
2019,NUMBER,total_millions,BD,865
1997,_%,real_gdp_growth,BiH,0.34
1998,_%,real_gdp_growth,BiH,0.16
1999,_%,real_gdp_growth,BiH,0.10
2000,_%,real_gdp_growth,BiH,0.06
2001,_%,real_gdp_growth,BiH,0.04
2002,_%,real_gdp_growth,BiH,0.05
2003,_%,real_gdp_growth,BiH,0.04
2004,_%,real_gdp_growth,BiH,0.06
2005,_%,real_gdp_growth,BiH,0.09
2006,_%,real_gdp_growth,BiH,0.05
2007,_%,real_gdp_growth,BiH,0.06
2008,_%,real_gdp_growth,BiH,0.05
2009,_%,real_gdp_growth,BiH,-0.03
2010,_%,real_gdp_growth,BiH,0.01
2011,_%,real_gdp_growth,BiH,0.01
2012,_%,real_gdp_growth,BiH,-0.01
2013,_%,real_gdp_growth,BiH,0.02
2014,_%,real_gdp_growth,BiH,0.01
2015,_%,real_gdp_growth,BiH,0.03
2016,_%,real_gdp_growth,BiH,0.03
2017,_%,real_gdp_growth,BiH,0.02
2018,_%,real_gdp_growth,BiH,0.04
2019,_%,real_gdp_growth,BiH,0.03
1997,NUMBER,per_capita,BiH,1798
1998,NUMBER,per_capita,BiH,2094
1999,NUMBER,per_capita,BiH,2310
2000,NUMBER,per_capita,BiH,2542
2001,NUMBER,per_capita,BiH,2759
2002,NUMBER,per_capita,BiH,3044
2003,NUMBER,per_capita,BiH,3211
2004,NUMBER,per_capita,BiH,3512
2005,NUMBER,per_capita,BiH,4983
2006,NUMBER,per_capita,BiH,5663
2007,NUMBER,per_capita,BiH,6366
2008,NUMBER,per_capita,BiH,7205
2009,NUMBER,per_capita,BiH,7003
2010,NUMBER,per_capita,BiH,7165
2011,NUMBER,per_capita,BiH,7414
2012,NUMBER,per_capita,BiH,7418
2013,NUMBER,per_capita,BiH,7584
2014,NUMBER,per_capita,BiH,7759
2015,NUMBER,per_capita,BiH,8127
2016,NUMBER,per_capita,BiH,8517
2017,NUMBER,per_capita,BiH,8954
2018,NUMBER,per_capita,BiH,9566
2019,NUMBER,per_capita,BiH,10128
