Year,UNIT_MEASURE,Sex,Age,Entity,Value
2013,Number,F,49,FBIH,17227
2013,Number,F,50,FBIH,17408
2013,Number,F,51,FBIH,18176
2013,Number,F,52,FBIH,17803
2013,Number,F,53,FBIH,17770
2013,Number,F,54,FBIH,17536
2013,Number,F,55,FBIH,16951
2013,Number,F,56,FBIH,15777
2013,Number,F,57,FBIH,16033
2013,Number,F,58,FBIH,16371
2013,Number,F,59,FBIH,15389
2013,Number,F,60,FBIH,15575
2013,Number,F,61,FBIH,14255
2013,Number,F,62,FBIH,13044
2013,Number,F,63,FBIH,13250
2013,Number,F,64,FBIH,12590
2013,Number,F,65,FBIH,11398
2013,Number,F,66,FBIH,11859
2013,Number,F,67,FBIH,9102
2013,Number,F,68,FBIH,8553
2013,Number,F,69,FBIH,8041
2013,Number,F,70,FBIH,8325
2013,Number,F,71,FBIH,9159
2013,Number,F,72,FBIH,9645
2013,Number,F,73,FBIH,10201
2013,Number,F,74,FBIH,9248
2013,Number,F,75,FBIH,9067
2013,Number,F,76,FBIH,8290
2013,Number,F,77,FBIH,7879
2013,Number,F,78,FBIH,7222
2013,Number,F,79,FBIH,6460
2013,Number,F,80,FBIH,5631
2013,Number,F,81,FBIH,5104
2013,Number,F,82,FBIH,4167
2013,Number,F,83,FBIH,3832
2013,Number,F,84,FBIH,3000
2013,Number,F,85+,FBIH,10790
2013,Number,F,Unknown,FBIH,0
2013,Number,F,Total,FBIH,1131227
2013,Number,Both sexes,0,RS,10429
2013,Number,Both sexes,1,RS,10772
2013,Number,Both sexes,2,RS,10843
2013,Number,Both sexes,3,RS,11419
2013,Number,Both sexes,4,RS,11593
2013,Number,Both sexes,5,RS,11423
2013,Number,Both sexes,6,RS,11101
2013,Number,Both sexes,7,RS,11156
2013,Number,Both sexes,8,RS,11439
2013,Number,Both sexes,9,RS,11497
2013,Number,Both sexes,10,RS,11647
2013,Number,Both sexes,11,RS,11856
2013,Number,Both sexes,12,RS,12663
2013,Number,Both sexes,13,RS,12738
2013,Number,Both sexes,14,RS,13114
2013,Number,Both sexes,15,RS,14028
2013,Number,Both sexes,16,RS,15755
2013,Number,Both sexes,17,RS,15004
2013,Number,Both sexes,18,RS,15395
2013,Number,Both sexes,19,RS,15356
2013,Number,Both sexes,20,RS,12674
2013,Number,Both sexes,21,RS,13765
2013,Number,Both sexes,22,RS,15228
2013,Number,Both sexes,23,RS,15159
2013,Number,Both sexes,24,RS,15392
2013,Number,Both sexes,25,RS,16111
2013,Number,Both sexes,26,RS,16026
2013,Number,Both sexes,27,RS,16257
2013,Number,Both sexes,28,RS,16601
2013,Number,Both sexes,29,RS,17391
2013,Number,Both sexes,30,RS,17114
2013,Number,Both sexes,31,RS,17339
2013,Number,Both sexes,32,RS,17074
2013,Number,Both sexes,33,RS,17163
2013,Number,Both sexes,34,RS,16964
2013,Number,Both sexes,35,RS,17055
2013,Number,Both sexes,36,RS,17205
2013,Number,Both sexes,37,RS,17747
2013,Number,Both sexes,38,RS,16968
2013,Number,Both sexes,39,RS,16470
2013,Number,Both sexes,40,RS,16378
2013,Number,Both sexes,41,RS,16692
2013,Number,Both sexes,42,RS,15959
2013,Number,Both sexes,43,RS,15159
2013,Number,Both sexes,44,RS,15975
2013,Number,Both sexes,45,RS,16366
2013,Number,Both sexes,46,RS,17354
2013,Number,Both sexes,47,RS,17644
2013,Number,Both sexes,48,RS,18118
2013,Number,Both sexes,49,RS,17764
2013,Number,Both sexes,50,RS,18129
2013,Number,Both sexes,51,RS,19279
2013,Number,Both sexes,52,RS,19220
2013,Number,Both sexes,53,RS,19247
2013,Number,Both sexes,54,RS,20131
2013,Number,Both sexes,55,RS,18809
2013,Number,Both sexes,56,RS,18331
2013,Number,Both sexes,57,RS,19518
2013,Number,Both sexes,58,RS,20118
2013,Number,Both sexes,59,RS,19897
2013,Number,Both sexes,60,RS,20106
2013,Number,Both sexes,61,RS,18842
2013,Number,Both sexes,62,RS,16910
2013,Number,Both sexes,63,RS,16983
2013,Number,Both sexes,64,RS,16649
2013,Number,Both sexes,65,RS,14404
2013,Number,Both sexes,66,RS,15233
2013,Number,Both sexes,67,RS,11899
2013,Number,Both sexes,68,RS,9855
2013,Number,Both sexes,69,RS,9879
2013,Number,Both sexes,70,RS,9798
2013,Number,Both sexes,71,RS,10268
2013,Number,Both sexes,72,RS,11904
2013,Number,Both sexes,73,RS,12421
2013,Number,Both sexes,74,RS,11682
2013,Number,Both sexes,75,RS,11369
2013,Number,Both sexes,76,RS,10585
2013,Number,Both sexes,77,RS,10014
2013,Number,Both sexes,78,RS,8706
2013,Number,Both sexes,79,RS,8117
2013,Number,Both sexes,80,RS,6749
2013,Number,Both sexes,81,RS,6055
2013,Number,Both sexes,82,RS,4955
2013,Number,Both sexes,83,RS,4658
2013,Number,Both sexes,84,RS,3592
2013,Number,Both sexes,85+,RS,11771
2013,Number,Both sexes,Unknown,RS,0
2013,Number,Both sexes,Total,RS,1228423
2013,Number,M,0,RS,5330
2013,Number,M,1,RS,5435
2013,Number,M,2,RS,5617
2013,Number,M,3,RS,5812
2013,Number,M,4,RS,6053
2013,Number,M,5,RS,5889
2013,Number,M,6,RS,5619
2013,Number,M,7,RS,5667
2013,Number,M,8,RS,5903
2013,Number,M,9,RS,5935
2013,Number,M,10,RS,6009
2013,Number,M,11,RS,6093
2013,Number,M,12,RS,6516
2013,Number,M,13,RS,6505
2013,Number,M,14,RS,6626
2013,Number,M,15,RS,7306
2013,Number,M,16,RS,8099
2013,Number,M,17,RS,7621
2013,Number,M,18,RS,7885
2013,Number,M,19,RS,7972
2013,Number,M,20,RS,6576
2013,Number,M,21,RS,7089
2013,Number,M,22,RS,7914
2013,Number,M,23,RS,7872
2013,Number,M,24,RS,7801
2013,Number,M,25,RS,8267
2013,Number,M,26,RS,8234
2013,Number,M,27,RS,8197
2013,Number,M,28,RS,8623
2013,Number,M,29,RS,8900
2013,Number,M,30,RS,8788
2013,Number,M,31,RS,8854
2013,Number,M,32,RS,8715
2013,Number,M,33,RS,8746
2013,Number,M,34,RS,8644
2013,Number,M,35,RS,8818
2013,Number,M,36,RS,8821
2013,Number,M,37,RS,9154
2013,Number,M,38,RS,8748
2013,Number,M,39,RS,8540
2013,Number,M,40,RS,8485
2013,Number,M,41,RS,8652
2013,Number,M,42,RS,8241
2013,Number,M,43,RS,7740
2013,Number,M,44,RS,8229
2013,Number,M,45,RS,8297
2013,Number,M,46,RS,8826
2013,Number,M,47,RS,8964
2013,Number,M,48,RS,9100
2013,Number,M,49,RS,8870
2013,Number,M,50,RS,8995
2013,Number,M,51,RS,9574
2013,Number,M,52,RS,9575
2013,Number,M,53,RS,9548
2013,Number,M,54,RS,9833
2013,Number,M,55,RS,9160
2013,Number,M,56,RS,8931
2013,Number,M,57,RS,9518
2013,Number,M,58,RS,9803
2013,Number,M,59,RS,9734
2013,Number,M,60,RS,9704
2013,Number,M,61,RS,8999
2013,Number,M,62,RS,8098
2013,Number,M,63,RS,8022
2013,Number,M,64,RS,7849
2013,Number,M,65,RS,6607
2013,Number,M,66,RS,7031
2013,Number,M,67,RS,5391
2013,Number,M,68,RS,4414
2013,Number,M,69,RS,4439
2013,Number,M,70,RS,4144
2013,Number,M,71,RS,4446
2013,Number,M,72,RS,5149
2013,Number,M,73,RS,5273
2013,Number,M,74,RS,4938
2013,Number,M,75,RS,4752
2013,Number,M,76,RS,4366
2013,Number,M,77,RS,3935
2013,Number,M,78,RS,3377
2013,Number,M,79,RS,3135
2013,Number,M,80,RS,2568
2013,Number,M,81,RS,2288
2013,Number,M,82,RS,1859
2013,Number,M,83,RS,1713
2013,Number,M,84,RS,1335
2013,Number,M,85+,RS,3927
2013,Number,M,Unknown,RS,0
2013,Number,M,Total,RS,603027
2013,Number,F,0,RS,5099
2013,Number,F,1,RS,5337
2013,Number,F,2,RS,5226
2013,Number,F,3,RS,5607
2013,Number,F,4,RS,5540
2013,Number,F,5,RS,5534
2013,Number,F,6,RS,5482
2013,Number,F,7,RS,5489
2013,Number,F,8,RS,5536
2013,Number,F,9,RS,5562
2013,Number,F,10,RS,5638
2013,Number,F,11,RS,5763
2013,Number,F,12,RS,6147
2013,Number,F,13,RS,6233
2013,Number,F,14,RS,6488
2013,Number,F,15,RS,6722
2013,Number,F,16,RS,7656
2013,Number,F,17,RS,7383
2013,Number,F,18,RS,7510
2013,Number,F,19,RS,7384
2013,Number,F,20,RS,6098
2013,Number,F,21,RS,6676
2013,Number,F,22,RS,7314
2013,Number,F,23,RS,7287
2013,Number,F,24,RS,7591
2013,Number,F,25,RS,7844
2013,Number,F,26,RS,7792
2013,Number,F,27,RS,8060
2013,Number,F,28,RS,7978
2013,Number,F,29,RS,8491
2013,Number,F,30,RS,8326
2013,Number,F,31,RS,8485
2013,Number,F,32,RS,8359
2013,Number,F,33,RS,8417
2013,Number,F,34,RS,8320
2013,Number,F,35,RS,8237
2013,Number,F,36,RS,8384
2013,Number,F,37,RS,8593
2013,Number,F,38,RS,8220
2013,Number,F,39,RS,7930
2013,Number,F,40,RS,7893
2013,Number,F,41,RS,8040
2013,Number,F,42,RS,7718
2013,Number,F,43,RS,7419
2013,Number,F,44,RS,7746
2013,Number,F,45,RS,8069
2013,Number,F,46,RS,8528
2013,Number,F,47,RS,8680
2013,Number,F,48,RS,9018
2013,Number,F,49,RS,8894
2013,Number,F,50,RS,9134
2013,Number,F,51,RS,9705
2013,Number,F,52,RS,9645
2013,Number,F,53,RS,9699
2013,Number,F,54,RS,10298
2013,Number,F,55,RS,9649
2013,Number,F,56,RS,9400
2013,Number,F,57,RS,10000
2013,Number,F,58,RS,10315
2013,Number,F,59,RS,10163
2013,Number,F,60,RS,10402
2013,Number,F,61,RS,9843
2013,Number,F,62,RS,8812
2013,Number,F,63,RS,8961
2013,Number,F,64,RS,8800
2013,Number,F,65,RS,7797
2013,Number,F,66,RS,8202
2013,Number,F,67,RS,6508
2013,Number,F,68,RS,5441
2013,Number,F,69,RS,5440
2013,Number,F,70,RS,5654
2013,Number,F,71,RS,5822
2013,Number,F,72,RS,6755
2013,Number,F,73,RS,7148
2013,Number,F,74,RS,6744
2013,Number,F,75,RS,6617
2013,Number,F,76,RS,6219
2013,Number,F,77,RS,6079
2013,Number,F,78,RS,5329
2013,Number,F,79,RS,4982
2013,Number,F,80,RS,4181
2013,Number,F,81,RS,3767
2013,Number,F,82,RS,3096
2013,Number,F,83,RS,2945
2013,Number,F,84,RS,2257
2013,Number,F,85+,RS,7844
2013,Number,F,Unknown,RS,0
2013,Number,F,Total,RS,625396
2013,Number,Both sexes,0,BD,839
2013,Number,Both sexes,1,BD,832
2013,Number,Both sexes,2,BD,855
2013,Number,Both sexes,3,BD,791
2013,Number,Both sexes,4,BD,848
2013,Number,Both sexes,5,BD,851
2013,Number,Both sexes,6,BD,917
2013,Number,Both sexes,7,BD,822
2013,Number,Both sexes,8,BD,865
2013,Number,Both sexes,9,BD,857
2013,Number,Both sexes,10,BD,922
2013,Number,Both sexes,11,BD,876
2013,Number,Both sexes,12,BD,944
2013,Number,Both sexes,13,BD,933
2013,Number,Both sexes,14,BD,929
2013,Number,Both sexes,15,BD,1072
2013,Number,Both sexes,16,BD,1169
2013,Number,Both sexes,17,BD,1113
2013,Number,Both sexes,18,BD,1013
2013,Number,Both sexes,19,BD,956
2013,Number,Both sexes,20,BD,826
2013,Number,Both sexes,21,BD,989
2013,Number,Both sexes,22,BD,1056
2013,Number,Both sexes,23,BD,1047
2013,Number,Both sexes,24,BD,1018
2013,Number,Both sexes,25,BD,1103
2013,Number,Both sexes,26,BD,1113
2013,Number,Both sexes,27,BD,1054
2013,Number,Both sexes,28,BD,1235
2013,Number,Both sexes,29,BD,1224
2013,Number,Both sexes,30,BD,1230
2013,Number,Both sexes,31,BD,1253
2013,Number,Both sexes,32,BD,1154
2013,Number,Both sexes,33,BD,1196
2013,Number,Both sexes,34,BD,1158
2013,Number,Both sexes,35,BD,1205
2013,Number,Both sexes,36,BD,1176
2013,Number,Both sexes,37,BD,1239
2013,Number,Both sexes,38,BD,1207
2013,Number,Both sexes,39,BD,1279
2013,Number,Both sexes,40,BD,1256
2013,Number,Both sexes,41,BD,1277
2013,Number,Both sexes,42,BD,1160
2013,Number,Both sexes,43,BD,1204
2013,Number,Both sexes,44,BD,1248
2013,Number,Both sexes,45,BD,1288
2013,Number,Both sexes,46,BD,1301
2013,Number,Both sexes,47,BD,1313
2013,Number,Both sexes,48,BD,1404
2013,Number,Both sexes,49,BD,1267
2013,Number,Both sexes,50,BD,1317
2013,Number,Both sexes,51,BD,1325
2013,Number,Both sexes,52,BD,1362
2013,Number,Both sexes,53,BD,1311
2013,Number,Both sexes,54,BD,1258
2013,Number,Both sexes,55,BD,1199
2013,Number,Both sexes,56,BD,1110
2013,Number,Both sexes,57,BD,1150
2013,Number,Both sexes,58,BD,1167
2013,Number,Both sexes,59,BD,1149
2013,Number,Both sexes,60,BD,1100
2013,Number,Both sexes,61,BD,1073
2013,Number,Both sexes,62,BD,983
2013,Number,Both sexes,63,BD,1052
2013,Number,Both sexes,64,BD,940
2013,Number,Both sexes,65,BD,899
2013,Number,Both sexes,66,BD,899
2013,Number,Both sexes,67,BD,750
2013,Number,Both sexes,68,BD,655
2013,Number,Both sexes,69,BD,705
2013,Number,Both sexes,70,BD,698
2013,Number,Both sexes,71,BD,594
2013,Number,Both sexes,72,BD,698
2013,Number,Both sexes,73,BD,687
2013,Number,Both sexes,74,BD,682
2013,Number,Both sexes,75,BD,620
2013,Number,Both sexes,76,BD,634
2013,Number,Both sexes,77,BD,594
2013,Number,Both sexes,78,BD,535
2013,Number,Both sexes,79,BD,480
2013,Number,Both sexes,80,BD,365
2013,Number,Both sexes,81,BD,327
2013,Number,Both sexes,82,BD,260
2013,Number,Both sexes,83,BD,246
2013,Number,Both sexes,84,BD,202
2013,Number,Both sexes,85+,BD,606
2013,Number,Both sexes,Unknown,BD,0
2013,Number,Both sexes,Total,BD,83516
2013,Number,M,0,BD,436
2013,Number,M,1,BD,417
2013,Number,M,2,BD,450
2013,Number,M,3,BD,412
2013,Number,M,4,BD,463
2013,Number,M,5,BD,465
2013,Number,M,6,BD,471
2013,Number,M,7,BD,423
2013,Number,M,8,BD,460
2013,Number,M,9,BD,416
2013,Number,M,10,BD,477
2013,Number,M,11,BD,472
2013,Number,M,12,BD,489
2013,Number,M,13,BD,489
2013,Number,M,14,BD,484
2013,Number,M,15,BD,560
2013,Number,M,16,BD,602
2013,Number,M,17,BD,547
2013,Number,M,18,BD,523
2013,Number,M,19,BD,487
2013,Number,M,20,BD,417
2013,Number,M,21,BD,533
2013,Number,M,22,BD,546
2013,Number,M,23,BD,533
2013,Number,M,24,BD,499
2013,Number,M,25,BD,545
2013,Number,M,26,BD,577
2013,Number,M,27,BD,550
2013,Number,M,28,BD,634
2013,Number,M,29,BD,602
2013,Number,M,30,BD,626
2013,Number,M,31,BD,618
2013,Number,M,32,BD,568
2013,Number,M,33,BD,575
2013,Number,M,34,BD,527
2013,Number,M,35,BD,591
2013,Number,M,36,BD,610
2013,Number,M,37,BD,619
2013,Number,M,38,BD,625
2013,Number,M,39,BD,680
2013,Number,M,40,BD,631
2013,Number,M,41,BD,637
2013,Number,M,42,BD,572
2013,Number,M,43,BD,650
2013,Number,M,44,BD,636
2013,Number,M,45,BD,708
2013,Number,M,46,BD,692
2013,Number,M,47,BD,669
2013,Number,M,48,BD,717
2013,Number,M,49,BD,650
2013,Number,M,50,BD,681
2013,Number,M,51,BD,685
2013,Number,M,52,BD,705
2013,Number,M,53,BD,636
2013,Number,M,54,BD,618
2013,Number,M,55,BD,618
2013,Number,M,56,BD,575
2013,Number,M,57,BD,558
2013,Number,M,58,BD,566
2013,Number,M,59,BD,545
2013,Number,M,60,BD,504
2013,Number,M,61,BD,495
2013,Number,M,62,BD,484
2013,Number,M,63,BD,484
2013,Number,M,64,BD,432
2013,Number,M,65,BD,394
2013,Number,M,66,BD,405
2013,Number,M,67,BD,348
2013,Number,M,68,BD,295
2013,Number,M,69,BD,304
2013,Number,M,70,BD,327
2013,Number,M,71,BD,267
2013,Number,M,72,BD,297
2013,Number,M,73,BD,283
2013,Number,M,74,BD,285
2013,Number,M,75,BD,241
2013,Number,M,76,BD,261
2013,Number,M,77,BD,244
2013,Number,M,78,BD,215
2013,Number,M,79,BD,182
2013,Number,M,80,BD,144
2013,Number,M,81,BD,131
2013,Number,M,82,BD,82
2013,Number,M,83,BD,89
2013,Number,M,84,BD,67
2013,Number,M,85+,BD,223
2013,Number,M,Unknown,BD,0
2013,Number,M,Total,BD,41250
2013,Number,F,0,BD,403
2013,Number,F,1,BD,415
2013,Number,F,2,BD,405
2013,Number,F,3,BD,379
2013,Number,F,4,BD,385
2013,Number,F,5,BD,386
2013,Number,F,6,BD,446
2013,Number,F,7,BD,399
2013,Number,F,8,BD,405
2013,Number,F,9,BD,441
2013,Number,F,10,BD,445
2013,Number,F,11,BD,404
2013,Number,F,12,BD,455
2013,Number,F,13,BD,444
2013,Number,F,14,BD,445
2013,Number,F,15,BD,512
2013,Number,F,16,BD,567
2013,Number,F,17,BD,566
2013,Number,F,18,BD,490
2013,Number,F,19,BD,469
2013,Number,F,20,BD,409
2013,Number,F,21,BD,456
2013,Number,F,22,BD,510
2013,Number,F,23,BD,514
2013,Number,F,24,BD,519
2013,Number,F,25,BD,558
2013,Number,F,26,BD,536
2013,Number,F,27,BD,504
2013,Number,F,28,BD,601
2013,Number,F,29,BD,622
2013,Number,F,30,BD,604
2013,Number,F,31,BD,635
2013,Number,F,32,BD,586
2013,Number,F,33,BD,621
2013,Number,F,34,BD,631
2013,Number,F,35,BD,614
2013,Number,F,36,BD,566
2013,Number,F,37,BD,620
2013,Number,F,38,BD,582
2013,Number,F,39,BD,599
2013,Number,F,40,BD,625
2013,Number,F,41,BD,640
2013,Number,F,42,BD,588
2013,Number,F,43,BD,554
2013,Number,F,44,BD,612
2013,Number,F,45,BD,580
2013,Number,F,46,BD,609
2013,Number,F,47,BD,644
2013,Number,F,48,BD,687
2013,Number,F,49,BD,617
2013,Number,F,50,BD,636
2013,Number,F,51,BD,640
2013,Number,F,52,BD,657
2013,Number,F,53,BD,675
2013,Number,F,54,BD,640
2013,Number,F,55,BD,581
2013,Number,F,56,BD,535
2013,Number,F,57,BD,592
2013,Number,F,58,BD,601
2013,Number,F,59,BD,604
2013,Number,F,60,BD,596
2013,Number,F,61,BD,578
2013,Number,F,62,BD,499
2013,Number,F,63,BD,568
2013,Number,F,64,BD,508
2013,Number,F,65,BD,505
2013,Number,F,66,BD,494
2013,Number,F,67,BD,402
2013,Number,F,68,BD,360
2013,Number,F,69,BD,401
2013,Number,F,70,BD,371
2013,Number,F,71,BD,327
2013,Number,F,72,BD,401
2013,Number,F,73,BD,404
2013,Number,F,74,BD,397
2013,Number,F,75,BD,379
2013,Number,F,76,BD,373
2013,Number,F,77,BD,350
2013,Number,F,78,BD,320
