Year,UNIT_MEASURE,SEX,ADMIN_AREA,Value
2016,NUMBER,_T,FBIH,95.0
2017,NUMBER,_T,FBIH,84.0
2018,NUMBER,_T,FBIH,68.0
2019,NUMBER,_T,FBIH,69.0
1997,NUMBER,M,RS,38.0
1998,NUMBER,M,RS,19.0
1999,NUMBER,M,RS,39.0
2000,NUMBER,M,RS,27.0
2001,NUMBER,M,RS,38.0
2002,NUMBER,M,RS,17.0
2003,NUMBER,M,RS,17.0
2004,NUMBER,M,RS,19.0
2005,NUMBER,M,RS,20.0
2006,NUMBER,M,RS,20.0
2007,NUMBER,M,RS,23.0
2008,NUMBER,M,RS,20.0
2009,NUMBER,M,RS,21.0
2010,NUMBER,M,RS,23.0
2011,NUMBER,M,RS,12.0
2012,NUMBER,M,RS,24.0
2013,NUMBER,M,RS,17.0
2014,NUMBER,M,RS,13.0
2015,NUMBER,M,RS,8.0
2016,NUMBER,M,RS,5.0
2017,NUMBER,M,RS,10.0
2018,NUMBER,M,RS,11.0
2019,NUMBER,M,RS,4.0
1997,NUMBER,F,RS,39.0
1998,NUMBER,F,RS,37.0
1999,NUMBER,F,RS,31.0
2000,NUMBER,F,RS,25.0
2001,NUMBER,F,RS,39.0
2002,NUMBER,F,RS,23.0
2003,NUMBER,F,RS,20.0
2004,NUMBER,F,RS,16.0
2005,NUMBER,F,RS,20.0
2006,NUMBER,F,RS,7.0
2007,NUMBER,F,RS,16.0
2008,NUMBER,F,RS,14.0
2009,NUMBER,F,RS,11.0
2010,NUMBER,F,RS,18.0
2011,NUMBER,F,RS,17.0
2012,NUMBER,F,RS,14.0
2013,NUMBER,F,RS,20.0
2014,NUMBER,F,RS,9.0
2015,NUMBER,F,RS,9.0
2016,NUMBER,F,RS,10.0
2017,NUMBER,F,RS,7.0
2018,NUMBER,F,RS,7.0
2019,NUMBER,F,RS,9.0
1997,NUMBER,_T,RS,77.0
1998,NUMBER,_T,RS,56.0
1999,NUMBER,_T,RS,70.0
2000,NUMBER,_T,RS,52.0
2001,NUMBER,_T,RS,77.0
2002,NUMBER,_T,RS,40.0
2003,NUMBER,_T,RS,37.0
2004,NUMBER,_T,RS,35.0
2005,NUMBER,_T,RS,40.0
2006,NUMBER,_T,RS,27.0
2007,NUMBER,_T,RS,39.0
2008,NUMBER,_T,RS,34.0
2009,NUMBER,_T,RS,32.0
2010,NUMBER,_T,RS,41.0
2011,NUMBER,_T,RS,29.0
2012,NUMBER,_T,RS,38.0
2013,NUMBER,_T,RS,37.0
2014,NUMBER,_T,RS,22.0
2015,NUMBER,_T,RS,17.0
2016,NUMBER,_T,RS,15.0
2017,NUMBER,_T,RS,17.0
2018,NUMBER,_T,RS,18.0
2019,NUMBER,_T,RS,13.0
2004,NUMBER,M,BD,4.0
2006,NUMBER,M,BD,1.0
2007,NUMBER,M,BD,1.0
2008,NUMBER,M,BD,3.0
2009,NUMBER,M,BD,6.0
2010,NUMBER,M,BD,4.0
2011,NUMBER,M,BD,5.0
2012,NUMBER,M,BD,4.0
2013,NUMBER,M,BD,1.0
2014,NUMBER,M,BD,1.0
2004,NUMBER,F,BD,6.0
2005,NUMBER,F,BD,11.0
2006,NUMBER,F,BD,4.0
2007,NUMBER,F,BD,3.0
2008,NUMBER,F,BD,5.0
2009,NUMBER,F,BD,6.0
2010,NUMBER,F,BD,11.0
2011,NUMBER,F,BD,6.0
2012,NUMBER,F,BD,9.0
2013,NUMBER,F,BD,3.0
2014,NUMBER,F,BD,1.0
2004,NUMBER,_T,BD,10.0
2005,NUMBER,_T,BD,11.0
2006,NUMBER,_T,BD,5.0
2007,NUMBER,_T,BD,4.0
2008,NUMBER,_T,BD,8.0
2009,NUMBER,_T,BD,12.0
2010,NUMBER,_T,BD,15.0
2011,NUMBER,_T,BD,11.0
2012,NUMBER,_T,BD,13.0
2013,NUMBER,_T,BD,4.0
2014,NUMBER,_T,BD,2.0
