Year,MICS_INDICATORS,UNIT_MEASURE,MICS_NUMBER,Entitet,Value
2006,comprehensive_knowledge_about_hiv_prevention_(women_15-49),_%,MICS 3,FBiH,37.5
2006,accepting_attitudes_towards_people_living_with_hiv_(women_15-49),_%,MICS 3,FBiH,37.8
2006,sex_before_age_15_(women_15-19-24),_%,MICS 3,FBiH,0.3
2006,sex_with_non-regular_partners_(women_15-24),_%,MICS 3,FBiH,17.6
2006,condom_use_with_non-regular_partners_(women_15-24),_%,MICS 3,FBiH,68.3
2006,contraceptive_prevalence_rate_(total),_%,MICS 3,Republika Srpska,40.7
2006,contraceptive_prevalence_rate_(traditional_methods),_%,MICS 3,Republika Srpska,31.2
2006,contraceptive_prevalence_rate_(modern_methods),_%,MICS 3,Republika Srpska,9.4
2006,unmet_need_for_family_planning,_%,MICS 3,Republika Srpska,23.3
2006,satisfied_demand_for_family_planning,_%,MICS 3,Republika Srpska,63.6
2006,skilled_attendant_at_delivery,_%,MICS 3,Republika Srpska,99.8
2006,institutional_deliveries,_%,MICS 3,Republika Srpska,99.8
2006,marriage_before_age_15_(women_15-49),_%,MICS 3,Republika Srpska,0.9
2006,marriage_before_age_18_(women_20-49),_%,MICS 3,Republika Srpska,10.7
2006,young_women_aged_15-19_years_currently_married_or_in_union,_%,MICS 3,Republika Srpska,9.5
2006,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(women_15-49),_%,MICS 3,Republika Srpska,4.8
2006,comprehensive_knowledge_about_hiv_prevention_(women_15-49),_%,MICS 3,Republika Srpska,28.5
2006,accepting_attitudes_towards_people_living_with_hiv_(women_15-49),_%,MICS 3,Republika Srpska,33.0
2006,sex_before_age_15_(women_15-19-24),_%,MICS 3,Republika Srpska,1.3
2006,sex_with_non-regular_partners_(women_15-24),_%,MICS 3,Republika Srpska,34.5
2006,condom_use_with_non-regular_partners_(women_15-24),_%,MICS 3,Republika Srpska,72.5
2006,contraceptive_prevalence_rate_(total),_%,MICS 3,Brčko Distrikt BiH,23.1
2006,contraceptive_prevalence_rate_(traditional_methods),_%,MICS 3,Brčko Distrikt BiH,10.4
2006,contraceptive_prevalence_rate_(modern_methods),_%,MICS 3,Brčko Distrikt BiH,12.7
2006,unmet_need_for_family_planning,_%,MICS 3,Brčko Distrikt BiH,21.3
2006,satisfied_demand_for_family_planning,_%,MICS 3,Brčko Distrikt BiH,52.0
2006,marriage_before_age_15_(women_15-49),_%,MICS 3,Brčko Distrikt BiH,2.2
2006,marriage_before_age_18_(women_20-49),_%,MICS 3,Brčko Distrikt BiH,9.7
2006,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(women_15-49),_%,MICS 3,Brčko Distrikt BiH,0.3
2006,comprehensive_knowledge_about_hiv_prevention_(women_15-49),_%,MICS 3,Brčko Distrikt BiH,15.4
2006,accepting_attitudes_towards_people_living_with_hiv_(women_15-49),_%,MICS 3,Brčko Distrikt BiH,16.4
2011,contraceptive_prevalence_rate_(total),_%,MICS 4 ,BiH,45.8
2011,contraceptive_prevalence_rate_(traditional_methods),_%,MICS 4 ,BiH,34.0
2011,contraceptive_prevalence_rate_(modern_methods),_%,MICS 4 ,BiH,12.0
2011,unmet_need_for_family_planning,_%,MICS 4 ,BiH,9.0
2011,satisfied_demand_for_family_planning,_%,MICS 4 ,BiH,84.0
2011,skilled_attendant_at_delivery,_%,MICS 4 ,BiH,99.9
2011,institutional_deliveries,_%,MICS 4 ,BiH,99.7
2011,marriage_before_age_15_(women_15-49),_%,MICS 4 ,BiH,0.4
2011,marriage_before_age_15_(men_15-49),_%,MICS 4 ,BiH,0.1
2011,marriage_before_age_18_(women_20-49),_%,MICS 4 ,BiH,9.5
2011,marriage_before_age_18_(men_20-49),_%,MICS 4 ,BiH,0.6
2011,young_women_aged_15-19_years_currently_married_or_in_union,_%,MICS 4 ,BiH,0.6
2011,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(women_15-49),_%,MICS 4 ,BiH,4.8
2011,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(men_15-49),_%,MICS 4 ,BiH,6.0
2011,comprehensive_knowledge_about_hiv_prevention_(women_15-49),_%,MICS 4 ,BiH,43.4
2011,comprehensive_knowledge_about_hiv_prevention_(men_15-49),_%,MICS 4 ,BiH,44.9
2011,comprehensive_knowledge_about_hiv_prevention_(women_15-24),_%,MICS 4 ,BiH,47.6
2011,comprehensive_knowledge_about_hiv_prevention_(men_15-24),_%,MICS 4 ,BiH,47.4
2011,accepting_attitudes_towards_people_living_with_hiv_(women_15-49),_%,MICS 4 ,BiH,15.1
2011,accepting_attitudes_towards_people_living_with_hiv_(men_15-49),_%,MICS 4 ,BiH,17.5
2011,women_aged_15-24_who_have_never_had_sex_,_%,MICS 4 ,BiH,79.4
2011,men_aged_15-24_who_have_never_had_sex_,_%,MICS 4 ,BiH,52.8
2011,sex_before_age_15_(women_15-19-24),_%,MICS 4 ,BiH,0.1
2011,sex_before_age_15_(men_15-24),_%,MICS 4 ,BiH,1.5
2011,sex_with_multiple_partners_(women_15-49),_%,MICS 4 ,BiH,0.9
2011,sex_with_multiple_partners_(men_15-49),_%,MICS 4 ,BiH,6.5
2011,condom_use_during_sex_with_multiple_partners_(women_15-49),_%,MICS 4 ,BiH,64.4
2011,condom_use_during_sex_with_multiple_partners_(men_15-49),_%,MICS 4 ,BiH,60.9
2011,sex_with_non-regular_partners_(women_15-24),_%,MICS 4 ,BiH,58.8
2011,sex_with_non-regular_partners_(men_15-24),_%,MICS 4 ,BiH,93.5
2011,condom_use_with_non-regular_partners_(women_15-24),_%,MICS 4 ,BiH,71.4
2011,condom_use_with_non-regular_partners_(men_15-24),_%,MICS 4 ,BiH,71.0
2011,life_satisfaction_(women_15-24),_%,MICS 4 ,BiH,53.5
2011,life_satisfaction_(men_15-24),_%,MICS 4 ,BiH,49.5
2011,happiness_(women_15-24),_%,MICS 4 ,BiH,92.8
2011,happiness_(men_15-24),_%,MICS 4 ,BiH,91.1
2011,tobacco_use_(women_15-49),_%,MICS 4 ,BiH,27.3
2011,tobacco_use_(men_15-49),_%,MICS 4 ,BiH,39.9
2011,alcohol_use_(women_15-49),_%,MICS 4 ,BiH,18.3
2011,alcohol_use_(men_15-49),_%,MICS 4 ,BiH,52.7
2011,contraceptive_prevalence_rate_(total),_%,MICS 4 ,FBiH,43.1
2011,contraceptive_prevalence_rate_(traditional_methods),_%,MICS 4 ,FBiH,33.1
2011,contraceptive_prevalence_rate_(modern_methods),_%,MICS 4 ,FBiH,10.0
2011,unmet_need_for_family_planning,_%,MICS 4 ,FBiH,9.9
2011,satisfied_demand_for_family_planning,_%,MICS 4 ,FBiH,81.5
2011,skilled_attendant_at_delivery,_%,MICS 4 ,FBiH,99.9
2011,institutional_deliveries,_%,MICS 4 ,FBiH,99.6
2011,marriage_before_age_15_(women_15-49),_%,MICS 4 ,FBiH,0.4
2011,marriage_before_age_15_(men_15-49),_%,MICS 4 ,FBiH,0.2
2011,marriage_before_age_18_(women_20-49),_%,MICS 4 ,FBiH,9.9
2011,marriage_before_age_18_(men_20-49),_%,MICS 4 ,FBiH,0.8
2011,young_women_aged_15-19_years_currently_married_or_in_union,_%,MICS 4 ,FBiH,0.8
2011,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(women_15-49),_%,MICS 4 ,FBiH,5.0
2011,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(men_15-49),_%,MICS 4 ,FBiH,5.6
2011,comprehensive_knowledge_about_hiv_prevention_(women_15-49),_%,MICS 4 ,FBiH,43.9
2011,comprehensive_knowledge_about_hiv_prevention_(men_15-49),_%,MICS 4 ,FBiH,47.5
2011,comprehensive_knowledge_about_hiv_prevention_(women_15-24),_%,MICS 4 ,FBiH,46.4
2011,comprehensive_knowledge_about_hiv_prevention_(men_15-24),_%,MICS 4 ,FBiH,49.4
2011,accepting_attitudes_towards_people_living_with_hiv_(women_15-49),_%,MICS 4 ,FBiH,14.3
2011,accepting_attitudes_towards_people_living_with_hiv_(men_15-49),_%,MICS 4 ,FBiH,17.9
2011,women_aged_15-24_who_have_never_had_sex_,_%,MICS 4 ,FBiH,85.0
2011,men_aged_15-24_who_have_never_had_sex_,_%,MICS 4 ,FBiH,53.5
2011,sex_before_age_15_(women_15-19-24),_%,MICS 4 ,FBiH,0.1
2011,sex_before_age_15_(men_15-24),_%,MICS 4 ,FBiH,1.8
2011,sex_with_multiple_partners_(women_15-49),_%,MICS 4 ,FBiH,0.9
2011,sex_with_multiple_partners_(men_15-49),_%,MICS 4 ,FBiH,5.7
2011,condom_use_during_sex_with_multiple_partners_(men_15-49),_%,MICS 4 ,FBiH,62.6
2011,sex_with_non-regular_partners_(women_15-24),_%,MICS 4 ,FBiH,51.4
2011,sex_with_non-regular_partners_(men_15-24),_%,MICS 4 ,FBiH,93.3
2011,condom_use_with_non-regular_partners_(women_15-24),_%,MICS 4 ,FBiH,72.8
2011,condom_use_with_non-regular_partners_(men_15-24),_%,MICS 4 ,FBiH,74.0
2011,life_satisfaction_(women_15-24),_%,MICS 4 ,FBiH,56.3
2011,life_satisfaction_(men_15-24),_%,MICS 4 ,FBiH,52.8
2011,happiness_(women_15-24),_%,MICS 4 ,FBiH,92.5
2011,happiness_(men_15-24),_%,MICS 4 ,FBiH,92.2
2011,tobacco_use_(women_15-49),_%,MICS 4 ,FBiH,27.8
2011,tobacco_use_(men_15-49),_%,MICS 4 ,FBiH,42.4
2011,alcohol_use_(women_15-49),_%,MICS 4 ,FBiH,12.4
2011,alcohol_use_(men_15-49),_%,MICS 4 ,FBiH,45.8
2011,contraceptive_prevalence_rate_(total),_%,MICS 4 ,Republika Srpska,53.7
2011,contraceptive_prevalence_rate_(traditional_methods),_%,MICS 4 ,Republika Srpska,36.9
2011,contraceptive_prevalence_rate_(modern_methods),_%,MICS 4 ,Republika Srpska,16.8
2011,unmet_need_for_family_planning,_%,MICS 4 ,Republika Srpska,6.7
2011,satisfied_demand_for_family_planning,_%,MICS 4 ,Republika Srpska,88.9
2011,skilled_attendant_at_delivery,_%,MICS 4 ,Republika Srpska,100.0
2011,institutional_deliveries,_%,MICS 4 ,Republika Srpska,100.0
2011,marriage_before_age_15_(women_15-49),_%,MICS 4 ,Republika Srpska,0.6
2011,marriage_before_age_18_(women_20-49),_%,MICS 4 ,Republika Srpska,8.2
2011,marriage_before_age_18_(men_20-49),_%,MICS 4 ,Republika Srpska,0.1
2011,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(women_15-49),_%,MICS 4 ,Republika Srpska,4.3
2011,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(men_15-49),_%,MICS 4 ,Republika Srpska,7.0
2011,comprehensive_knowledge_about_hiv_prevention_(women_15-49),_%,MICS 4 ,Republika Srpska,42.3
2011,comprehensive_knowledge_about_hiv_prevention_(men_15-49),_%,MICS 4 ,Republika Srpska,38.8
2011,comprehensive_knowledge_about_hiv_prevention_(women_15-24),_%,MICS 4 ,Republika Srpska,51.8
2011,comprehensive_knowledge_about_hiv_prevention_(men_15-24),_%,MICS 4 ,Republika Srpska,42.3
2011,accepting_attitudes_towards_people_living_with_hiv_(women_15-49),_%,MICS 4 ,Republika Srpska,16.6
2011,accepting_attitudes_towards_people_living_with_hiv_(men_15-49),_%,MICS 4 ,Republika Srpska,15.9
2011,women_aged_15-24_who_have_never_had_sex_,_%,MICS 4 ,Republika Srpska,62.1
2011,men_aged_15-24_who_have_never_had_sex_,_%,MICS 4 ,Republika Srpska,52.0
2011,sex_before_age_15_(women_15-19-24),_%,MICS 4 ,Republika Srpska,0.2
2011,sex_before_age_15_(men_15-24),_%,MICS 4 ,Republika Srpska,0.7
2011,sex_with_multiple_partners_(women_15-49),_%,MICS 4 ,Republika Srpska,1.0
2011,sex_with_multiple_partners_(men_15-49),_%,MICS 4 ,Republika Srpska,7.9
2011,condom_use_during_sex_with_multiple_partners_(men_15-49),_%,MICS 4 ,Republika Srpska,55.0
2011,sex_with_non-regular_partners_(women_15-24),_%,MICS 4 ,Republika Srpska,71.8
2011,sex_with_non-regular_partners_(men_15-24),_%,MICS 4 ,Republika Srpska,93.8
2011,condom_use_with_non-regular_partners_(women_15-24),_%,MICS 4 ,Republika Srpska,69.1
2011,condom_use_with_non-regular_partners_(men_15-24),_%,MICS 4 ,Republika Srpska,61.7
2011,life_satisfaction_(women_15-24),_%,MICS 4 ,Republika Srpska,46.2
2011,life_satisfaction_(men_15-24),_%,MICS 4 ,Republika Srpska,42.3
2011,happiness_(women_15-24),_%,MICS 4 ,Republika Srpska,93.9
2011,happiness_(men_15-24),_%,MICS 4 ,Republika Srpska,88.9
2011,tobacco_use_(women_15-49),_%,MICS 4 ,Republika Srpska,26.3
2011,tobacco_use_(men_15-49),_%,MICS 4 ,Republika Srpska,34.3
2011,alcohol_use_(women_15-49),_%,MICS 4 ,Republika Srpska,33.8
2011,alcohol_use_(men_15-49),_%,MICS 4 ,Republika Srpska,68.6
2011,contraceptive_prevalence_rate_(total),_%,MICS 4 ,Brčko Distrikt BiH,24.7
2011,contraceptive_prevalence_rate_(traditional_methods),_%,MICS 4 ,Brčko Distrikt BiH,10.2
2011,contraceptive_prevalence_rate_(modern_methods),_%,MICS 4 ,Brčko Distrikt BiH,14.5
2011,unmet_need_for_family_planning,_%,MICS 4 ,Brčko Distrikt BiH,13.1
2011,satisfied_demand_for_family_planning,_%,MICS 4 ,Brčko Distrikt BiH,65.3
2011,skilled_attendant_at_delivery,_%,MICS 4 ,Brčko Distrikt BiH,100.0
2011,institutional_deliveries,_%,MICS 4 ,Brčko Distrikt BiH,100.0
2011,marriage_before_age_15_(men_15-49),_%,MICS 4 ,Brčko Distrikt BiH,0.2
2011,marriage_before_age_18_(women_20-49),_%,MICS 4 ,Brčko Distrikt BiH,11.3
2011,marriage_before_age_18_(men_20-49),_%,MICS 4 ,Brčko Distrikt BiH,0.4
2011,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(women_15-49),_%,MICS 4 ,Brčko Distrikt BiH,1.9
2011,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(men_15-49),_%,MICS 4 ,Brčko Distrikt BiH,7.4
2011,comprehensive_knowledge_about_hiv_prevention_(women_15-49),_%,MICS 4 ,Brčko Distrikt BiH,40.0
2011,comprehensive_knowledge_about_hiv_prevention_(men_15-49),_%,MICS 4 ,Brčko Distrikt BiH,46.2
2011,comprehensive_knowledge_about_hiv_prevention_(women_15-24),_%,MICS 4 ,Brčko Distrikt BiH,41.5
2011,comprehensive_knowledge_about_hiv_prevention_(men_15-24),_%,MICS 4 ,Brčko Distrikt BiH,45.9
2011,accepting_attitudes_towards_people_living_with_hiv_(women_15-49),_%,MICS 4 ,Brčko Distrikt BiH,27.1
2011,accepting_attitudes_towards_people_living_with_hiv_(men_15-49),_%,MICS 4 ,Brčko Distrikt BiH,31.4
2011,men_aged_15-24_who_have_never_had_sex_,_%,MICS 4 ,Brčko Distrikt BiH,33.0
2011,sex_with_multiple_partners_(women_15-49),_%,MICS 4 ,Brčko Distrikt BiH,2.0
2011,sex_with_multiple_partners_(men_15-49),_%,MICS 4 ,Brčko Distrikt BiH,10.9
2011,life_satisfaction_(women_15-24),_%,MICS 4 ,Brčko Distrikt BiH,14.6
2011,life_satisfaction_(men_15-24),_%,MICS 4 ,Brčko Distrikt BiH,28.6
2011,happiness_(women_15-24),_%,MICS 4 ,Brčko Distrikt BiH,85.8
2011,happiness_(men_15-24),_%,MICS 4 ,Brčko Distrikt BiH,75.1
2011,tobacco_use_(women_15-49),_%,MICS 4 ,Brčko Distrikt BiH,23.7
2011,tobacco_use_(men_15-49),_%,MICS 4 ,Brčko Distrikt BiH,37.4
2011,alcohol_use_(women_15-49),_%,MICS 4 ,Brčko Distrikt BiH,20.6
2011,alcohol_use_(men_15-49),_%,MICS 4 ,Brčko Distrikt BiH,58.9
2012,contraceptive_prevalence_rate_(total),_%,MICS 4 ,BiH,45.8
2012,contraceptive_prevalence_rate_(traditional_methods),_%,MICS 4 ,BiH,34.0
2012,contraceptive_prevalence_rate_(modern_methods),_%,MICS 4 ,BiH,12.0
2012,unmet_need_for_family_planning,_%,MICS 4 ,BiH,9.0
2012,satisfied_demand_for_family_planning,_%,MICS 4 ,BiH,84.0
2012,skilled_attendant_at_delivery,_%,MICS 4 ,BiH,99.9
2012,institutional_deliveries,_%,MICS 4 ,BiH,99.7
2012,marriage_before_age_15_(women_15-49),_%,MICS 4 ,BiH,0.4
2012,marriage_before_age_15_(men_15-49),_%,MICS 4 ,BiH,0.1
2012,marriage_before_age_18_(women_20-49),_%,MICS 4 ,BiH,9.5
2012,marriage_before_age_18_(men_20-49),_%,MICS 4 ,BiH,0.6
2012,young_women_aged_15-19_years_currently_married_or_in_union,_%,MICS 4 ,BiH,0.6
2012,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(women_15-49),_%,MICS 4 ,BiH,4.8
2012,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(men_15-49),_%,MICS 4 ,BiH,6.0
2012,comprehensive_knowledge_about_hiv_prevention_(women_15-49),_%,MICS 4 ,BiH,43.4
2012,comprehensive_knowledge_about_hiv_prevention_(men_15-49),_%,MICS 4 ,BiH,44.9
2012,comprehensive_knowledge_about_hiv_prevention_(women_15-24),_%,MICS 4 ,BiH,47.6
2012,comprehensive_knowledge_about_hiv_prevention_(men_15-24),_%,MICS 4 ,BiH,47.4
2012,accepting_attitudes_towards_people_living_with_hiv_(women_15-49),_%,MICS 4 ,BiH,15.1
2012,accepting_attitudes_towards_people_living_with_hiv_(men_15-49),_%,MICS 4 ,BiH,17.5
2012,women_aged_15-24_who_have_never_had_sex_,_%,MICS 4 ,BiH,79.4
2012,men_aged_15-24_who_have_never_had_sex_,_%,MICS 4 ,BiH,52.8
2012,sex_before_age_15_(women_15-19-24),_%,MICS 4 ,BiH,0.1
2012,sex_before_age_15_(men_15-24),_%,MICS 4 ,BiH,1.5
2012,sex_with_multiple_partners_(women_15-49),_%,MICS 4 ,BiH,0.9
2012,sex_with_multiple_partners_(men_15-49),_%,MICS 4 ,BiH,6.5
2012,condom_use_during_sex_with_multiple_partners_(women_15-49),_%,MICS 4 ,BiH,64.4
2012,condom_use_during_sex_with_multiple_partners_(men_15-49),_%,MICS 4 ,BiH,60.9
2012,sex_with_non-regular_partners_(women_15-24),_%,MICS 4 ,BiH,58.8
2012,sex_with_non-regular_partners_(men_15-24),_%,MICS 4 ,BiH,93.5
2012,condom_use_with_non-regular_partners_(women_15-24),_%,MICS 4 ,BiH,71.4
2012,condom_use_with_non-regular_partners_(men_15-24),_%,MICS 4 ,BiH,71.0
2012,life_satisfaction_(women_15-24),_%,MICS 4 ,BiH,53.5
2012,life_satisfaction_(men_15-24),_%,MICS 4 ,BiH,49.5
2012,happiness_(women_15-24),_%,MICS 4 ,BiH,92.8
2012,happiness_(men_15-24),_%,MICS 4 ,BiH,91.1
2012,tobacco_use_(women_15-49),_%,MICS 4 ,BiH,27.3
2012,tobacco_use_(men_15-49),_%,MICS 4 ,BiH,39.9
2012,alcohol_use_(women_15-49),_%,MICS 4 ,BiH,18.3
2012,alcohol_use_(men_15-49),_%,MICS 4 ,BiH,52.7
2012,contraceptive_prevalence_rate_(total),_%,MICS 4 ,FBiH,43.1
2012,contraceptive_prevalence_rate_(traditional_methods),_%,MICS 4 ,FBiH,33.1
2012,contraceptive_prevalence_rate_(modern_methods),_%,MICS 4 ,FBiH,10.0
2012,unmet_need_for_family_planning,_%,MICS 4 ,FBiH,9.9
2012,satisfied_demand_for_family_planning,_%,MICS 4 ,FBiH,81.5
2012,skilled_attendant_at_delivery,_%,MICS 4 ,FBiH,99.9
2012,institutional_deliveries,_%,MICS 4 ,FBiH,99.6
2012,marriage_before_age_15_(women_15-49),_%,MICS 4 ,FBiH,0.4
2012,marriage_before_age_15_(men_15-49),_%,MICS 4 ,FBiH,0.2
2012,marriage_before_age_18_(women_20-49),_%,MICS 4 ,FBiH,9.9
2012,marriage_before_age_18_(men_20-49),_%,MICS 4 ,FBiH,0.8
2012,young_women_aged_15-19_years_currently_married_or_in_union,_%,MICS 4 ,FBiH,0.8
2012,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(women_15-49),_%,MICS 4 ,FBiH,5.0
2012,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(men_15-49),_%,MICS 4 ,FBiH,5.6
2012,comprehensive_knowledge_about_hiv_prevention_(women_15-49),_%,MICS 4 ,FBiH,43.9
2012,comprehensive_knowledge_about_hiv_prevention_(men_15-49),_%,MICS 4 ,FBiH,47.5
2012,comprehensive_knowledge_about_hiv_prevention_(women_15-24),_%,MICS 4 ,FBiH,46.4
2012,comprehensive_knowledge_about_hiv_prevention_(men_15-24),_%,MICS 4 ,FBiH,49.4
2012,accepting_attitudes_towards_people_living_with_hiv_(women_15-49),_%,MICS 4 ,FBiH,14.3
2012,accepting_attitudes_towards_people_living_with_hiv_(men_15-49),_%,MICS 4 ,FBiH,17.9
2012,women_aged_15-24_who_have_never_had_sex_,_%,MICS 4 ,FBiH,85.0
2012,men_aged_15-24_who_have_never_had_sex_,_%,MICS 4 ,FBiH,53.5
2012,sex_before_age_15_(women_15-19-24),_%,MICS 4 ,FBiH,0.1
2012,sex_before_age_15_(men_15-24),_%,MICS 4 ,FBiH,1.8
2012,sex_with_multiple_partners_(women_15-49),_%,MICS 4 ,FBiH,0.9
2012,sex_with_multiple_partners_(men_15-49),_%,MICS 4 ,FBiH,5.7
2012,condom_use_during_sex_with_multiple_partners_(men_15-49),_%,MICS 4 ,FBiH,62.6
2012,sex_with_non-regular_partners_(women_15-24),_%,MICS 4 ,FBiH,51.4
2012,sex_with_non-regular_partners_(men_15-24),_%,MICS 4 ,FBiH,93.3
2012,condom_use_with_non-regular_partners_(women_15-24),_%,MICS 4 ,FBiH,72.8
2012,condom_use_with_non-regular_partners_(men_15-24),_%,MICS 4 ,FBiH,74.0
2012,life_satisfaction_(women_15-24),_%,MICS 4 ,FBiH,56.3
2012,life_satisfaction_(men_15-24),_%,MICS 4 ,FBiH,52.8
2012,happiness_(women_15-24),_%,MICS 4 ,FBiH,92.5
2012,happiness_(men_15-24),_%,MICS 4 ,FBiH,92.2
2012,tobacco_use_(women_15-49),_%,MICS 4 ,FBiH,27.8
2012,tobacco_use_(men_15-49),_%,MICS 4 ,FBiH,42.4
2012,alcohol_use_(women_15-49),_%,MICS 4 ,FBiH,12.4
2012,alcohol_use_(men_15-49),_%,MICS 4 ,FBiH,45.8
2012,contraceptive_prevalence_rate_(total),_%,MICS 4 ,Republika Srpska,53.7
2012,contraceptive_prevalence_rate_(traditional_methods),_%,MICS 4 ,Republika Srpska,36.9
2012,contraceptive_prevalence_rate_(modern_methods),_%,MICS 4 ,Republika Srpska,16.8
2012,unmet_need_for_family_planning,_%,MICS 4 ,Republika Srpska,6.7
2012,satisfied_demand_for_family_planning,_%,MICS 4 ,Republika Srpska,88.9
2012,skilled_attendant_at_delivery,_%,MICS 4 ,Republika Srpska,100.0
2012,institutional_deliveries,_%,MICS 4 ,Republika Srpska,100.0
2012,marriage_before_age_15_(women_15-49),_%,MICS 4 ,Republika Srpska,0.6
2012,marriage_before_age_18_(women_20-49),_%,MICS 4 ,Republika Srpska,8.2
2012,marriage_before_age_18_(men_20-49),_%,MICS 4 ,Republika Srpska,0.1
2012,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(women_15-49),_%,MICS 4 ,Republika Srpska,4.3
2012,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(men_15-49),_%,MICS 4 ,Republika Srpska,7.0
2012,comprehensive_knowledge_about_hiv_prevention_(women_15-49),_%,MICS 4 ,Republika Srpska,42.3
2012,comprehensive_knowledge_about_hiv_prevention_(men_15-49),_%,MICS 4 ,Republika Srpska,38.8
2012,comprehensive_knowledge_about_hiv_prevention_(women_15-24),_%,MICS 4 ,Republika Srpska,51.8
2012,comprehensive_knowledge_about_hiv_prevention_(men_15-24),_%,MICS 4 ,Republika Srpska,42.3
2012,accepting_attitudes_towards_people_living_with_hiv_(women_15-49),_%,MICS 4 ,Republika Srpska,16.6
2012,accepting_attitudes_towards_people_living_with_hiv_(men_15-49),_%,MICS 4 ,Republika Srpska,15.9
2012,women_aged_15-24_who_have_never_had_sex_,_%,MICS 4 ,Republika Srpska,62.1
2012,men_aged_15-24_who_have_never_had_sex_,_%,MICS 4 ,Republika Srpska,52.0
2012,sex_before_age_15_(women_15-19-24),_%,MICS 4 ,Republika Srpska,0.2
